NestNumber,BeeID,Treatment ,DurationX ,TemperatureX,DateCollected,Location,Position ,EstimatedSex,StageOnCollection,Instar1,Instar2,Instar34,Instar5,SpinStart,CocoonComplete,Mortality,MortalityDate ,DaystoDeath,DeathStage,Weight,Weight_Sept,Weight_November,Notes 
37,205,1,7,25,8-May,NH,4,0,0,1,4,6,,,,1,14-May,6,3,,,,?????
37,203,1,7,25,8-May,NH,2,1,0,5,7,10,12,30,33,0,,,,0.0936,0.0623,0.0616,
10,47,4,4,37,26-Apr,NH,4,0,0,3,3,7,11,28,33,0,,,,0.0836,0.0572,0.0599,
37,208,1,7,25,8-May,NH,7,0,0,2,5,6,12,26,30,0,,,,0.1108,0.0491,0.0575,
38,209,5,7,37,9-May,C2,1,1,0,,,,,,,1,11-May,2,0,,,,5/11 died 
38,211,5,7,37,9-May,C2,3,1,0,,,,,,,1,11-May,2,0,,,,5/11 died
38,212,5,7,37,9-May,C2,4,0,0,3,5,,,,,1,15-May,6,2,,,,
38,213,5,7,37,9-May,C2,5,0,0,,,,,,,1,11-May,2,0,,,,5/11 dead deflated
38,214,5,7,37,9-May,C2,6,0,0,,,,,,,1,11-May,2,0,,,,5/11 dead deflated
38,215,5,7,37,9-May,C2,7,0,0,,,,,,,1,11-May,2,0,,,,5/11 dead deflated
38,216,5,7,37,9-May,C2,8,0,0,3,5,,,,,1,16-May,7,2,,,,5/16 dead put in freezer 
28,154,3,7,33,3-May,NH,3,0,0,2,3,4,7,23,26,0,,,,0.0853,0.0565,0.0572,
26,144,3,7,33,1-May,C1,10,0,0,2,3,6,7,25,29,0,,,,0.0846,0.0537,0.0555,
8,37,2,4,33,24-Apr,NH,4,0,0,5,6,11,16,37,42,0,,,,0.0749,0.0446,0.0492,
14,72,2,4,33,28-Apr,C4,6,0,0,3,4,6,12,25,39,0,,,,0.0731,0.0375,0.0484,
40,222,1,7,25,15-May,C1,1,1,0,5,6,8,22,,,1,12-Jun,28,5,,,,"6/12 black , died"
14,70,2,4,33,28-Apr,C4,4,0,0,2,4,7,11,31,32,0,,,,0.0824,0.0362,0.0468,
26,136,3,7,33,1-May,C1,2,1,0,1,2,5,7,23,26,0,,,,0.0716,0.0341,0.0313,
6,26,1,7,25,24-Apr,SH,2,1,0,6,,,,,,1,4-May,10,0,,0.0799,,stayed egg :( 5/4
